"sl_no","order_id","payment_id","createdAt","updatedAt","item_id","item_name","coupon","amount","paid_status","phone","email","utm_params_source","utm_params_medium","utm_params_campaign","utm_params_term"
1,"5fd73623c99a2a46a4f7a823","276159121","2020-12-14T09:53:39.477Z","2020-12-14T09:53:39.477Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
2,"5fd7367f98317a48c46b48c3","276159121","2020-12-14T09:55:11.017Z","2020-12-14T09:55:11.017Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
3,"5fd73781b776d5345cc3e09b","276159121","2020-12-14T09:59:29.015Z","2020-12-14T09:59:29.015Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
4,"5fd7379d3b8b194e304787c6","276159121","2020-12-14T09:59:58.002Z","2020-12-14T09:59:58.002Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
5,"5fd737c76065311a20778a8a","276159121","2020-12-14T10:00:39.861Z","2020-12-14T10:00:39.861Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
6,"5fd73847e47d113e5cd7561b","276159121","2020-12-14T10:02:47.371Z","2020-12-14T10:02:47.371Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",4000,true,"1234567890","john.doe@email.com","google","seo_pages","sale",
7,"5fd73ac04b21e42b0c63937c","276159121","2020-12-14T10:13:20.433Z","2020-12-14T10:13:20.433Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
8,"5fd73acb4b21e42b0c63937e","276159121","2020-12-14T10:13:31.776Z","2020-12-14T10:13:31.776Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",5000,true,"1234567890","john.doe@email.com",,,,
9,"5fd73ae24b21e42b0c639380","276159121","2020-12-14T10:13:54.692Z","2020-12-14T10:13:54.692Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
10,"5fd73b3a07158c5004c9a6c8","276159121","2020-12-14T10:15:22.972Z","2020-12-14T10:15:22.972Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
11,"5fd73b4407158c5004c9a6cc","276159121","2020-12-14T10:15:32.311Z","2020-12-14T10:15:32.311Z","5fd72516fd9bc54ae86e7808","wardrobe","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
12,"5fd73b6907158c5004c9a6ce","276159121","2020-12-14T10:16:09.183Z","2020-12-14T10:16:09.183Z","5fd72516fd9bc54ae86e7809","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
13,"5fd73b7007158c5004c9a6d0","276159121","2020-12-14T10:16:16.985Z","2020-12-14T10:16:16.985Z","5fd72516fd9bc54ae86e7845","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
14,"5fd73b8596591312804c315b","276159121","2020-12-14T10:16:37.477Z","2020-12-14T10:16:37.477Z","5fd72516fd9bc54ae86e7845","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
15,"5fd73b8f3e4e214f08c91a2c","276159121","2020-12-14T10:16:47.356Z","2020-12-14T10:16:47.356Z","5fd72516fd9bc54ae86e7845","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
16,"5fd73b953e4e214f08c91a2e","276159121","2020-12-14T10:16:53.226Z","2020-12-14T10:16:53.226Z","5fd72516fd9bc54ae86e7845","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
17,"5fd73bc259ec2c26e4013969","276159121","2020-12-14T10:17:38.849Z","2020-12-14T10:17:38.849Z","5fd72516fd9bc54ae86e7845","","OFF50",5000,true,"1234567890","john.doe@email.com",,"seo_pages","sale",
